"idsite","idearthquake","idbuilding","psdr","pfa","idresponse"
94,1,9,0.00086296,0.21116,17899
94,1,9,0.00084779,0.21667,17900
94,1,9,0.00082689,0.20538,17901
94,1,9,0.00080093,0.17815,17902
94,1,9,0.00076747,0.14929,17903
94,1,9,0.00073532,0.13627,17904
94,1,9,0.00069701,0.14147,17905
94,1,9,0.00065281,0.14294,17906
94,1,9,0.00060263,0.13903,17907
94,1,9,0.00060553,0.13103,17908
94,1,9,0.00060814,0.13998,17909
94,1,9,0.00059487,0.15441,17910
94,1,9,0.00056637,0.16923,17911
94,1,9,0.00052015,0.1814,17912
94,1,9,0.00049706,0.19276,17913
94,1,9,0.00048714,0.19591,17914
94,1,9,0.00050316,0.1915,17915
94,1,9,0.00052585,0.18175,17916
94,1,9,0.00054685,0.16982,17917
94,1,9,0.00056567,0.15882,17918
94,1,9,0.00058186,0.15081,17919
94,1,9,0.00059491,0.14424,17920
94,1,9,0.00060449,0.14833,17921
94,1,9,0.00061031,0.15161,17922
94,1,9,0.00061076,0.15356,17923
94,1,9,0.00060771,0.15367,17924
94,1,9,0.00059931,0.15197,17925
94,1,9,0.00058523,0.15075,17926
94,1,9,0.00056455,0.15428,17927
94,1,9,0.00053646,0.14936,17928
94,1,9,0.00049947,0.14406,17929
94,1,9,0.00045753,0.14598,17930
94,1,9,0.00043663,0.14873,17931
94,1,9,0.00019067,0.15213,17932
95,1,9,0.0039047,0.30507,17933
95,1,9,0.0040671,0.2491,17934
95,1,9,0.0042789,0.21298,17935
95,1,9,0.004461,0.19058,17936
95,1,9,0.0045884,0.16573,17937
95,1,9,0.0046686,0.14125,17938
95,1,9,0.0046999,0.12662,17939
95,1,9,0.0047092,0.15097,17940
95,1,9,0.004675,0.18209,17941
95,1,9,0.0046063,0.19174,17942
95,1,9,0.0044734,0.18549,17943
95,1,9,0.0042574,0.16663,17944
95,1,9,0.0039493,0.17896,17945
95,1,9,0.0036002,0.20341,17946
95,1,9,0.0031923,0.21307,17947
95,1,9,0.0027702,0.21159,17948
95,1,9,0.0023754,0.20899,17949
95,1,9,0.0022512,0.20089,17950
95,1,9,0.0021545,0.20723,17951
95,1,9,0.0020289,0.21666,17952
95,1,9,0.0018796,0.22404,17953
95,1,9,0.0016953,0.24415,17954
95,1,9,0.0015025,0.25193,17955
95,1,9,0.001369,0.25219,17956
95,1,9,0.0012417,0.24259,17957
95,1,9,0.001185,0.22777,17958
95,1,9,0.0011485,0.21694,17959
95,1,9,0.0012497,0.21903,17960
95,1,9,0.0013703,0.21777,17961
95,1,9,0.0014754,0.22337,17962
95,1,9,0.0015686,0.22146,17963
95,1,9,0.0016562,0.22424,17964
95,1,9,0.0017269,0.2197,17965
95,1,9,0.0017847,0.21971,17966
95,1,9,0.0018197,0.21948,17967
95,1,9,0.001823,0.21816,17968
95,1,9,0.0017871,0.21752,17969
95,1,9,0.0017072,0.21371,17970
95,1,9,0.0015749,0.20436,17971
95,1,9,0.0014138,0.1959,17972
95,1,9,0.0013088,0.19163,17973
95,1,9,0.0005825,0.18957,17974
96,1,9,0.00068531,0.14209,17975
96,1,9,0.00071036,0.11355,17976
96,1,9,0.00072564,0.085187,17977
96,1,9,0.00072833,0.065684,17978
96,1,9,0.00071802,0.050925,17979
96,1,9,0.0006975,0.048437,17980
96,1,9,0.00066731,0.049437,17981
96,1,9,0.00063232,0.062068,17982
96,1,9,0.0005966,0.069899,17983
96,1,9,0.00056203,0.074617,17984
96,1,9,0.00052804,0.078546,17985
96,1,9,0.00048887,0.078339,17986
96,1,9,0.00044151,0.081471,17987
96,1,9,0.00042943,0.086529,17988
96,1,9,0.00044925,0.088161,17989
96,1,9,0.00046143,0.086306,17990
96,1,9,0.00046323,0.082714,17991
96,1,9,0.000453,0.08312,17992
96,1,9,0.00043076,0.090622,17993
96,1,9,0.00039495,0.095926,17994
96,1,9,0.00034587,0.096904,17995
96,1,9,0.00029142,0.09322,17996
96,1,9,0.00026381,0.084844,17997
96,1,9,0.00027866,0.080564,17998
96,1,9,0.00028873,0.089004,17999
96,1,9,0.00029279,0.095242,18000
96,1,9,0.00029182,0.098772,18001
96,1,9,0.00028545,0.099876,18002
96,1,9,0.0002751,0.098839,18003
96,1,9,0.0002777,0.095752,18004
96,1,9,0.00030045,0.090949,18005
96,1,9,0.00032135,0.08887,18006
96,1,9,0.00033858,0.086167,18007
96,1,9,0.00035242,0.092766,18008
96,1,9,0.00036163,0.09878,18009
96,1,9,0.0003691,0.10161,18010
96,1,9,0.0003814,0.10021,18011
96,1,9,0.00038301,0.094824,18012
96,1,9,0.00037324,0.086276,18013
96,1,9,0.00035431,0.080347,18014
96,1,9,0.00034155,0.076682,18015
96,1,9,0.00014852,0.072224,18016
97,1,9,0.00065958,0.17408,18017
97,1,9,0.00068433,0.125,18018
97,1,9,0.00069679,0.084566,18019
97,1,9,0.00069401,0.070717,18020
97,1,9,0.0006797,0.085288,18021
97,1,9,0.00066901,0.1037,18022
97,1,9,0.00066787,0.12616,18023
97,1,9,0.00066352,0.13414,18024
97,1,9,0.000647,0.1282,18025
97,1,9,0.00060785,0.11242,18026
97,1,9,0.00056814,0.089844,18027
97,1,9,0.00056382,0.084502,18028
97,1,9,0.00055282,0.11293,18029
97,1,9,0.00053674,0.14273,18030
97,1,9,0.00050937,0.16538,18031
97,1,9,0.00047621,0.17743,18032
97,1,9,0.00044398,0.17293,18033
97,1,9,0.00041034,0.15187,18034
97,1,9,0.00037477,0.13278,18035
97,1,9,0.00032585,0.13098,18036
97,1,9,0.00026444,0.13584,18037
97,1,9,0.0002117,0.14218,18038
97,1,9,0.00022221,0.13508,18039
97,1,9,0.00023525,0.12718,18040
97,1,9,0.00024427,0.12085,18041
97,1,9,0.00026052,0.11574,18042
97,1,9,0.00027602,0.11111,18043
97,1,9,0.00028767,0.1098,18044
97,1,9,0.00029616,0.11249,18045
97,1,9,0.00029966,0.11507,18046
97,1,9,0.0003031,0.13122,18047
97,1,9,0.00030494,0.13512,18048
97,1,9,0.00030495,0.14988,18049
97,1,9,0.00031549,0.1497,18050
97,1,9,0.00033256,0.15609,18051
97,1,9,0.00034196,0.15363,18052
97,1,9,0.00035363,0.16341,18053
97,1,9,0.00035292,0.16549,18054
97,1,9,0.00033984,0.18491,18055
97,1,9,0.00032606,0.18923,18056
97,1,9,0.00031942,0.20984,18057
97,1,9,0.00014074,0.21625,18058
98,1,9,0.0035644,0.42231,18059
98,1,9,0.003641,0.32164,18060
98,1,9,0.0037328,0.22788,18061
98,1,9,0.0038305,0.19604,18062
98,1,9,0.003936,0.20276,18063
98,1,9,0.0040511,0.24614,18064
98,1,9,0.0041989,0.26831,18065
98,1,9,0.0043356,0.25842,18066
98,1,9,0.0043998,0.23493,18067
98,1,9,0.0044112,0.23217,18068
98,1,9,0.0043916,0.21938,18069
98,1,9,0.0043256,0.19557,18070
98,1,9,0.0041878,0.19044,18071
98,1,9,0.0039957,0.18916,18072
98,1,9,0.0036935,0.26712,18073
98,1,9,0.0032828,0.32,18074
98,1,9,0.0027967,0.33652,18075
98,1,9,0.0023439,0.32202,18076
98,1,9,0.0021376,0.30718,18077
98,1,9,0.0019137,0.28397,18078
98,1,9,0.0017971,0.26078,18079
98,1,9,0.0017078,0.27148,18080
98,1,9,0.0018203,0.26361,18081
98,1,9,0.0019805,0.26057,18082
98,1,9,0.0021498,0.28222,18083
98,1,9,0.0023223,0.29279,18084
98,1,9,0.0024893,0.29464,18085
98,1,9,0.0026419,0.28565,18086
98,1,9,0.0027721,0.27303,18087
98,1,9,0.0028799,0.25685,18088
98,1,9,0.0029653,0.25192,18089
98,1,9,0.003021,0.24935,18090
98,1,9,0.0030374,0.24461,18091
98,1,9,0.0030182,0.23844,18092
98,1,9,0.0029556,0.24122,18093
98,1,9,0.0028472,0.25617,18094
98,1,9,0.0026935,0.27299,18095
98,1,9,0.0024911,0.2875,18096
98,1,9,0.0022335,0.29555,18097
98,1,9,0.0019189,0.29762,18098
98,1,9,0.0016008,0.29569,18099
98,1,9,0.00067307,0.3005,18100
99,1,9,0.0017652,0.15946,18101
99,1,9,0.0017874,0.13799,18102
99,1,9,0.0018153,0.11728,18103
99,1,9,0.0018437,0.09639,18104
99,1,9,0.0018705,0.077545,18105
99,1,9,0.0018942,0.061197,18106
99,1,9,0.0019137,0.058116,18107
99,1,9,0.001928,0.069074,18108
99,1,9,0.0019361,0.075739,18109
99,1,9,0.0019378,0.077644,18110
99,1,9,0.0019329,0.074893,18111
99,1,9,0.0019206,0.079907,18112
99,1,9,0.0019071,0.086208,18113
99,1,9,0.0019023,0.087804,18114
99,1,9,0.0018928,0.085113,18115
99,1,9,0.0018792,0.085244,18116
99,1,9,0.0018729,0.088782,18117
99,1,9,0.0018862,0.090813,18118
99,1,9,0.0018979,0.090439,18119
99,1,9,0.0019054,0.088009,18120
99,1,9,0.0019073,0.083636,18121
99,1,9,0.0018982,0.077503,18122
99,1,9,0.0018708,0.073416,18123
99,1,9,0.0018583,0.082491,18124
99,1,9,0.0018431,0.091899,18125
99,1,9,0.0018238,0.099433,18126
99,1,9,0.0018,0.10496,18127
99,1,9,0.001772,0.10853,18128
99,1,9,0.0017418,0.10985,18129
99,1,9,0.0017086,0.10896,18130
99,1,9,0.0016705,0.11137,18131
99,1,9,0.0016257,0.11585,18132
99,1,9,0.0015714,0.11811,18133
99,1,9,0.0015123,0.11759,18134
99,1,9,0.0014425,0.11421,18135
99,1,9,0.0013626,0.10862,18136
99,1,9,0.001271,0.10081,18137
99,1,9,0.0011669,0.090979,18138
99,1,9,0.0010451,0.080196,18139
99,1,9,0.00091674,0.068828,18140
99,1,9,0.00086842,0.059664,18141
99,1,9,0.00040863,0.054425,18142
100,1,9,0.0092502,0.51156,18143
100,1,9,0.0095385,0.37612,18144
100,1,9,0.0098457,0.3236,18145
100,1,9,0.010093,0.28246,18146
100,1,9,0.010237,0.25696,18147
100,1,9,0.010306,0.29818,18148
100,1,9,0.010367,0.36223,18149
100,1,9,0.010409,0.40729,18150
100,1,9,0.010414,0.40149,18151
100,1,9,0.010352,0.43817,18152
100,1,9,0.010173,0.4979,18153
100,1,9,0.0098339,0.58817,18154
100,1,9,0.0093535,0.60253,18155
100,1,9,0.0087737,0.60508,18156
100,1,9,0.0080532,0.60265,18157
100,1,9,0.0072348,0.59522,18158
100,1,9,0.0063983,0.55889,18159
100,1,9,0.0055845,0.59736,18160
100,1,9,0.004836,0.60403,18161
100,1,9,0.0041743,0.58163,18162
100,1,9,0.0041791,0.64747,18163
100,1,9,0.0042946,0.653,18164
100,1,9,0.004317,0.61011,18165
100,1,9,0.0043626,0.62705,18166
100,1,9,0.0043488,0.59796,18167
100,1,9,0.0042522,0.54316,18168
100,1,9,0.0042653,0.54332,18169
100,1,9,0.0043727,0.48094,18170
100,1,9,0.0044544,0.47986,18171
100,1,9,0.0045119,0.49824,18172
100,1,9,0.0045414,0.51417,18173
100,1,9,0.0045465,0.51234,18174
100,1,9,0.0045214,0.50326,18175
100,1,9,0.0044707,0.47666,18176
100,1,9,0.0043836,0.47916,18177
100,1,9,0.0042461,0.43699,18178
100,1,9,0.0040494,0.4855,18179
100,1,9,0.0037712,0.45418,18180
100,1,9,0.0034126,0.46987,18181
100,1,9,0.0030215,0.48599,18182
