"idsite","idearthquake","idbuilding","sdr","pfa","idresponse"
64,1,2,0.0021937,0.22114,7552
65,1,2,0.0014493,0.09076,7553
65,1,2,0.001471,0.085524,7554
65,1,2,0.0013797,0.061901,7555
65,1,2,0.0010306,0.11297,7556
66,1,2,0.0027467,0.094405,7557
66,1,2,0.0028509,0.11394,7558
66,1,2,0.0023024,0.11125,7559
66,1,2,0.0015274,0.15262,7560
67,1,2,0.0023267,0.076321,7561
67,1,2,0.0026014,0.088285,7562
67,1,2,0.0022726,0.098402,7563
67,1,2,0.0015524,0.16298,7564
68,1,2,0.0043612,0.232,7565
68,1,2,0.0045626,0.23255,7566
68,1,2,0.0042547,0.20451,7567
68,1,2,0.0030555,0.33935,7568
69,1,2,0.0063,0.20376,7569
69,1,2,0.0069964,0.22468,7570
69,1,2,0.0052822,0.21327,7571
69,1,2,0.0031032,0.30193,7572
70,1,2,0.00073987,0.022786,7573
70,1,2,0.000815,0.026887,7574
70,1,2,0.0006533,0.032121,7575
70,1,2,0.00040856,0.038441,7576
71,1,2,0.0011769,0.040284,7577
71,1,2,0.0013027,0.051109,7578
71,1,2,0.0010981,0.048375,7579
71,1,2,0.00071346,0.069704,7580
72,1,2,0.0012402,0.06253,7581
72,1,2,0.0015038,0.071152,7582
72,1,2,0.0013131,0.065585,7583
72,1,2,0.0008089,0.078079,7584
73,1,2,0.0012589,0.091226,7585
73,1,2,0.0012958,0.10553,7586
73,1,2,0.0016314,0.056396,7587
73,1,2,0.0013074,0.15216,7588
74,1,2,0.00073848,0.058277,7589
74,1,2,0.0010093,0.059316,7590
74,1,2,0.00093242,0.044377,7591
74,1,2,0.00062781,0.075331,7592
75,1,2,0.0026139,0.052232,7593
75,1,2,0.0027452,0.088524,7594
75,1,2,0.0020532,0.10188,7595
75,1,2,0.0012431,0.11871,7596
76,1,2,0.00079607,0.094673,7597
76,1,2,0.00087026,0.08552,7598
76,1,2,0.00069319,0.082662,7599
76,1,2,0.00054455,0.10224,7600
77,1,2,0.00051783,0.040549,7601
77,1,2,0.00052222,0.032973,7602
77,1,2,0.00058376,0.032389,7603
77,1,2,0.00050256,0.060615,7604
78,1,2,0.00044717,0.02381,7605
78,1,2,0.0005058,0.022915,7606
78,1,2,0.00048038,0.025982,7607
78,1,2,0.00036099,0.03927,7608
79,1,2,0.00066354,0.10376,7609
79,1,2,0.00050488,0.10315,7610
79,1,2,0.00052469,0.07781,7611
79,1,2,0.00063898,0.11355,7612
80,1,2,0.0016795,0.071188,7613
80,1,2,0.001869,0.087556,7614
80,1,2,0.0014785,0.076507,7615
80,1,2,0.00093785,0.098155,7616
81,1,2,0.0017961,0.041848,7617
81,1,2,0.0019747,0.059653,7618
81,1,2,0.0016512,0.071759,7619
81,1,2,0.0010688,0.1043,7620
82,1,2,0.0023789,0.066512,7621
82,1,2,0.002539,0.072595,7622
82,1,2,0.0019434,0.093018,7623
82,1,2,0.001187,0.1136,7624
83,1,2,0.00066992,0.048647,7625
83,1,2,0.00066131,0.036674,7626
83,1,2,0.00061194,0.025491,7627
83,1,2,0.00044316,0.045938,7628
84,1,2,0.00068213,0.037691,7629
84,1,2,0.00070901,0.037513,7630
84,1,2,0.00068932,0.030941,7631
84,1,2,0.00051694,0.055802,7632
85,1,2,0.00071039,0.042208,7633
85,1,2,0.00069628,0.034479,7634
85,1,2,0.00049897,0.026241,7635
85,1,2,0.00034505,0.042156,7636
86,1,2,0.0016853,0.049908,7637
86,1,2,0.001747,0.059551,7638
86,1,2,0.0013017,0.065185,7639
86,1,2,0.00076901,0.072369,7640
87,1,2,0.0019839,0.064977,7641
87,1,2,0.0019771,0.085857,7642
87,1,2,0.0017023,0.074069,7643
87,1,2,0.0011488,0.11604,7644
88,1,2,0.0023103,0.062961,7645
88,1,2,0.0022739,0.10878,7646
88,1,2,0.0018416,0.093874,7647
88,1,2,0.0012528,0.13083,7648
89,1,2,0.0010607,0.037545,7649
89,1,2,0.0010653,0.049439,7650
89,1,2,0.00092207,0.043535,7651
89,1,2,0.00063026,0.064321,7652
90,1,2,0.0014194,0.072432,7653
90,1,2,0.001487,0.065126,7654
90,1,2,0.0011771,0.057951,7655
90,1,2,0.00077285,0.083911,7656
91,1,2,0.0015498,0.080869,7657
91,1,2,0.0015788,0.088516,7658
91,1,2,0.00158,0.074189,7659
91,1,2,0.0012288,0.14303,7660
92,1,2,0.00066666,0.055757,7661
92,1,2,0.00065951,0.057405,7662
92,1,2,0.00057563,0.024861,7663
92,1,2,0.00050897,0.061042,7664
93,1,2,0.0004309,0.037127,7665
93,1,2,0.00041782,0.036992,7666
93,1,2,0.00035513,0.017579,7667
93,1,2,0.0002752,0.038162,7668
94,1,2,0.0013204,0.053801,7669
94,1,2,0.0014158,0.058912,7670
94,1,2,0.0010842,0.070384,7671
94,1,2,0.00082416,0.093561,7672
95,1,2,0.0039877,0.16237,7673
95,1,2,0.0043504,0.19933,7674
95,1,2,0.0038013,0.16309,7675
95,1,2,0.0027465,0.2923,7676
96,1,2,0.00076083,0.050467,7677
96,1,2,0.00068631,0.060388,7678
96,1,2,0.00071469,0.030305,7679
96,1,2,0.00060301,0.070726,7680
97,1,2,0.00050883,0.052929,7681
97,1,2,0.00061748,0.055249,7682
97,1,2,0.00056563,0.039469,7683
97,1,2,0.00045185,0.053789,7684
98,1,2,0.0046428,0.16232,7685
98,1,2,0.0049412,0.16492,7686
98,1,2,0.0036337,0.17454,7687
98,1,2,0.0021703,0.20651,7688
99,1,2,0.0022483,0.048093,7689
